"PRODUCT_NAME","DEPARTMENT","CATEGORY","SUBCATEGORY","SKU","BRAND","PRICE_CURRENT","PRICE_RETAIL","REVIEW_RATING","REVIEW_COUNT","COLOR","RunDate"
"Pleated Jacquard Midi Skirt","Women","Clothing","Skirts","6455606","Scotch & Soda",248.00,248.00,0.0,0,"710","2022-03-13 08:11:45"
"Print Recycled Polyester Wrap Skirt","Women","Clothing","Skirts","6455609","Scotch & Soda",148.00,148.00,0.0,0,"401","2022-03-13 08:11:45"
"Cleopatra High Waist Tennis Workout Skirt","Women","Clothing","Skirts","6462261","EleVen by Venus Williams",68.60,98.00,0.0,0,"434","2022-03-13 08:11:45"
"Velvet Miniskirt","Women","Clothing","Skirts","6463947","Rebecca Taylor",325.00,325.00,0.0,0,"305","2022-03-13 08:11:45"
"Burning Love Corset Skirt","Women","Clothing","Skirts","6472018","ALEMAIS",655.00,655.00,0.0,0,"900","2022-03-13 08:11:45"
"Dreamgirl Cotton Stretch Denim Miniskirt","Women","Clothing","Skirts","6473733","O'Dolly Dearest",30.00,30.00,0.0,0,"450","2022-03-13 08:11:45"
"Reese Plaid Pencil Skirt","Women","Clothing","Skirts","6479154","Liverpool Los Angeles",69.00,69.00,0.0,0,"601","2022-03-13 08:11:45"
"Ruffle Hem Skirt","Women","Clothing","Skirts","6487561","Susana Monaco",148.00,148.00,0.0,0,"950","2022-03-13 08:11:45"
"Wash Lab Retro Button Front Skirt","Women","Clothing","Skirts","6489880","Wash Lab Denim",128.00,128.00,3.0,1,"403","2022-03-13 08:11:45"
"Neve Faux Leather Skirt","Women","Clothing","Skirts","6499193","Nanushka",525.00,525.00,0.0,0,"800","2022-03-13 08:11:45"
"Stretch Cotton Corduroy Kilt Skirt","Women","Clothing","Skirts","6508333","BDG Urban Outfitters",37.97,54.00,0.0,0,"200","2022-03-13 08:11:45"
"Lined Crochet Midi Skirt","Women","Clothing","Skirts","6511052","AYNI",450.00,450.00,0.0,0,"302","2022-03-13 08:11:45"
"Amber Gathered Front Silk Skirt","Women","Clothing","Skirts","6522639","rag & bone",139.97,350.00,0.0,0,"930","2022-03-13 08:11:45"
