"PRODUCT_NAME","DEPARTMENT","CATEGORY","SUBCATEGORY","SKU","BRAND","PRICE_CURRENT","PRICE_RETAIL","REVIEW_RATING","REVIEW_COUNT","COLOR","RunDate"
"Y-Neck Long Sleeve T-Shirt","Men","Clothing","Sweaters","5957522","Bianca Saunders",126.00,420.00,0.0,0,"001","2022-03-13 08:11:45"
"Alpawool Cardigan","Men","Clothing","Sweaters","6288660","Corridor",195.00,325.00,0.0,0,"600","2022-03-13 08:11:45"
"Unisex Sequin Long Sleeve Tie Dye Top","Men","Clothing","Sweaters","6297244","Ashish",2174.00,2174.00,0.0,0,"300","2022-03-13 08:11:45"
"Marled Camel Hair Sweater","Men","Clothing","Sweaters","6297903","Boglioli",675.00,675.00,0.0,0,"700","2022-03-13 08:11:45"
"Crewneck Wool Sweater","Men","Clothing","Sweaters","6298053","Boglioli",375.00,375.00,0.0,0,"200","2022-03-13 08:11:45"
"Remus Sweater","Men","Clothing","Sweaters","6409310","Robert Barakett",82.97,165.00,0.0,0,"300","2022-03-13 08:11:45"
"Mouliné Cashmere Crewneck Sweater","Men","Clothing","Sweaters","6422946","ATM Anthony Thomas Melillo",147.97,295.00,0.0,0,"931","2022-03-13 08:11:45"
"Burton Montano Wool & Cashmere Crewneck Sweater","Men","Clothing","Sweaters","6457031","Theory",172.97,345.00,0.0,0,"206","2022-03-13 08:11:45"
"Crewneck Cashmere Sweater","Men","Clothing","Sweaters","6459230","sandro",395.00,395.00,0.0,0,"200","2022-03-13 08:11:45"
"HUGO BOSS Madori Wool Zip Sweater","Men","Clothing","Sweaters","6464895","BOSS",248.00,248.00,0.0,0,"404","2022-03-13 08:11:45"
"Regular Fit Argyle Crewneck Sweater","Men","Clothing","Sweaters","6466008","Bugatchi",199.00,199.00,0.0,0,"030","2022-03-13 08:11:45"
"Turtleneck Merino Wool Sweater","Men","Clothing","Sweaters","6466019","Bugatchi",165.00,165.00,5.0,1,"410","2022-03-13 08:11:45"
"Men's Wool Blend Pullover Sweater","Men","Clothing","Sweaters","6467727","Schott NYC",125.00,125.00,0.0,0,"023","2022-03-13 08:11:45"
"Townsville Cotton & Linen Sweater","Men","Clothing","Sweaters","6471722","Robert Graham",88.97,178.00,0.0,0,"011","2022-03-13 08:11:45"
"Geo Crewneck Sweater","Men","Clothing","Sweaters","6474566","Bonobos",77.40,129.00,5.0,1,"400","2022-03-13 08:11:45"
"Steffen Feel Good Sportive Quarter Zip Sweater","Men","Clothing","Sweaters","6489321","Brax",188.00,188.00,0.0,0,"037","2022-03-13 08:11:45"
"Potterings Sweater","Men","Clothing","Sweaters","6491577","Rodd & Gunn",198.00,198.00,5.0,2,"059","2022-03-13 08:11:45"
"Men's Fisherman Crewneck Sweater","Men","Clothing","Sweaters","6499529","River Island",65.00,65.00,0.0,0,"020","2022-03-13 08:11:45"
"Unisex Fisherman Knit Recycled Wool Sweater","Men","Clothing","Sweaters","6499660","K.NGSLEY",400.00,400.00,0.0,0,"200","2022-03-13 08:11:45"
"Scotty Wool Crewneck Sweater","Men","Clothing","Sweaters","6501142","Theory",147.97,295.00,0.0,0,"030","2022-03-13 08:11:45"
"Brady 6465 Wool Blend Sweater","Men","Clothing","Sweaters","6518320","NN07",172.97,315.00,5.0,1,"400","2022-03-13 08:11:45"
"Men's Haydon Reversible Alpaca & Wool Hooded Sweater","Men","Clothing","Sweaters","6523720","PAIGE",149.97,299.00,0.0,0,"001","2022-03-13 08:11:45"
"Unisex Swirl Cashmere Sweater","Men","Clothing","Sweaters","6535490","The Elder Statesman",2255.00,2255.00,0.0,0,"300","2022-03-13 08:11:45"
"Unisex Stripe Cashmere Zip Hoodie Sweater","Men","Clothing","Sweaters","6535506","The Elder Statesman",1825.00,1825.00,0.0,0,"364","2022-03-13 08:11:45"
